Drug Name,Brand Name,Generic Name,PDF Links,Therapeutic Area,Recommendation,Status,Submission Date,Recommendation Date,Project Number
avacopanOpens in new tab,Tavneos,avacopan,"['https://www.cadth.ca/sites/default/files/DRR/2023/SR0732REC-Tavneos-KH_BF-KH-meta.pdf', 'https://cadth.ca/sites/default/files/DRR/2023/SR0732-Tavneos_combined.pdf', 'https://cadth.ca/sites/default/files/DRR/2023/SR0732-Tavneos-Stakeholder-Feedback.pdf']",Antineutrophil cytoplasmic antibody-associated vasculitis,Do not reimburse,Complete,14-Oct-22,10-Aug-23,SR0732-000
cariprazineOpens in new tab,Vraylar,cariprazine,"['https://cadth.ca/sites/default/files/DRR/2022/SR0708_Memorandum%2C%20Panel%20Report%20%E2%80%93%20cariprazine_Vraylar%20-%20Procedural%20Review.pdf', 'https://cadth.ca/sites/default/files/DRR/2022/SR0708-Response-to-Procedural-Review-Panel-Report.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2022/SR0708REC-Cariprazine.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2022/SR0708-Cariprazine.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2022/SR0708%20vraylar%20-%20Stakeholder%20Feedback%20on%20draft%20recommendation.pdf']",Schizophrenia,Do not reimburse,Complete,29-Oct-21,10-Aug-23,SR0708-000
ravulizumabOpens in new tab,Ultomiris,ravulizumab,"['https://cadth.ca/sites/default/files/DRR/2023/SR0765Ultomiris%20-%20Confidential%20Final%20CADTH%20Recommendation%20August%2024%2C%202023%20revised.pdf', 'https://cadth.ca/sites/default/files/DRR/2023/SR0765_Ultomiris_Combined_Report.pdf', 'https://cadth.ca/sites/default/files/DRR/2023/SR0765_Ultomiris_Stakeholder_Feedback.pdf']",AChR antibody-positive generalized Myasthenia Gravis,Do not reimburse,Complete,25-Oct-22,08-Aug-23,SR0765-000
deucravacitinibOpens in new tab,Sotyktu,deucravacitinib,"['https://cadth.ca/sites/default//files/DRR/2023/SR0756%20Sotyktu%20-%20CADTH%20Final%20Recommendation%20-%20KH%20-%20MFJ%20-%20KH-meta.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2023/SR0756-Sotyktu.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2023/SR0756%20Sotyktu%20-%20Stakeholder%20Feedback.pdf']","Psoriasis, moderate to severe plaque",Do not reimburse,Complete,27-Sep-22,08-Aug-23,SR0756-000
Multiple MyelomaOpens in new tab,,,['https://www.cadth.ca/sites/default/files/DRR/2023/PH0031%20Multiple%20Myeloma_Algorithm-Secured.pdf'],Multiple myeloma,,Complete,,27-Jul-23,PH0031-000
difelikefalinOpens in new tab,Korsuva,difelikefalin,"['https://cadth.ca/sites/default//files/DRR/2023/SR0752%20Korsuva%20-%20CADTH%20Final%20Recommendation%20(with%20correction%20notice.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2023/SR0752-Korsuva.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2023/SR0752%20Korsuva%20-%20Stakeholder%20Feedback.pdf']",Chronic kidney disease,Do not reimburse,Complete,22-Sep-22,13-Jul-23,SR0752-000
trastuzumab deruxtecanOpens in new tab,Enhertu,trastuzumab deruxtecan,"['https://www.cadth.ca/sites/default/files/DRR/2023/PC0305%20Enhertu%20-%20Final%20CADTH%20Recommendation%20(with%20redactions)%20June%2029%2C%202023%20-%20KH_KAS%20-%20KH-meta.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2023/PC0305-Enhertu.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2023/PC0305-Enhertu-Stakeholder-Feedback.pdf']",unresectable or metastatic HER2-low breast cancer,Reimburse with clinical criteria and/or conditions,Complete,13-Dec-22,29-Jun-23,PC0305-000
Adult B-Cell Precursor Acute L...Opens in new tab,,,['https://www.cadth.ca/sites/default/files/DRR/2023/PH0030%20Rapid%20Algorithm%20Report-Adult%20B-Cell%20Precursor%20Acute%20Lymphoblastic%20Leukemia%20Philadelphia%20Chromosome%20Negative%20and%20Positive_SECURED.pdf'],"Adult B-Cell Precursor Acute Lymphoblastic Leukemia, Philadelphia Chromosome Negative and Positive",,Complete,,28-Jun-23,PH0030-000
foslevodopa foscarbidopaOpens in new tab,Vyalev,foslevodopa foscarbidopa,"['https://cadth.ca/sites/default/files/DRR/2023/SR0768%20Vyalev%20-%20Confidential%20CADTH%20Final%20Recommendation%20Final.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2023/SR0768-Vyalev.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2023/SR0768-Vyalev-Stakeholder-Feedback.pdf']",Parkinson’s disease,Reimburse with clinical criteria and/or conditions,Complete,23-Nov-22,16-Jun-23,SR0768-000
Triple Negative Breast CancerOpens in new tab,,,['https://www.cadth.ca/sites/default/files/DRR/2023/PH0024-Rapid%20Algorithm%20Report%20for%20Triple%20Negative%20Breast%20Cancer_FINAL.pdf'],Triple Negative Breast Cancer,,Complete,,14-Jun-23,PH0024-000
atogepantOpens in new tab,Qulipta,atogepant,"['https://www.cadth.ca/sites/default/files/DRR/2023/SR0724%20Qulipta%20-%20Final%20CADTH%20Recommendation%20June%202023%20Final.pdf', 'https://cadth.ca/sites/default//files/DRR/2023/SR0724-Qulipta_combined.pdf', 'https://cadth.ca/sites/default//files/DRR/2023/SR0724-Qulipta-Stakeholder-Feedback.pdf']","Migraine, prevention",Reimburse with clinical criteria and/or conditions,Complete,23-Feb-22,14-Jun-23,SR0724-000
vericiguatOpens in new tab,Verquvo,vericiguat,"['https://www.cadth.ca/sites/default/files/DRR/2023/SR0758%20Verquvo%20-%20Final%20CADTH%20Recommendation%20(with%20redactions)%20Final.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2023/SR0758-Verquvo.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2023/SR0758-Verquvo-Stakeholder-Feedback.pdf']",Heart failure,Reimburse with clinical criteria and/or conditions,Complete,14-Oct-22,14-Jun-23,SR0758-000
RET fusion-positive non-small ...Opens in new tab,,,['https://cadth.ca/sites/default/files/DRR/2023/PH0026-Implementation-Advice-Report-Algorithm-RET-Positive-NSCLC.pdf'],RET fusion-positive non-small cell lung cancer,,Complete,,01-Jun-23,PH0026-000
Non-Small Cell Lung Cancer (NS...Opens in new tab,,,['https://cadth.ca/sites/default/files/DRR/2023/PH0028-NSCLC-EGFR.pdf'],Non-Small Cell Lung Cancer (NSCLC) with Activating Epidermal Growth Factor Receptor (EGFR) Mutations,,Complete,,01-Jun-23,PH0028-000
risankizumabOpens in new tab,Skyrizi,risankizumab,"['https://cadth.ca/sites/default//files/DRR/2023/SR0767REC-Skyrizi_August%2022%2C2023-meta.pdf', 'https://cadth.ca/sites/default//files/DRR/2023/SR0767-Skyriz_combined.pdf', 'https://cadth.ca/sites/default//files/DRR/2023/SR0767%20Skyrizi%20Stakeholder%20Feedback.pdf']",Crohn's disease,Reimburse with clinical criteria and/or conditions,Complete,28-Oct-22,12-May-23,SR0767-000
upadacitinibOpens in new tab,Rinvoq,upadacitinib,"['https://www.cadth.ca/sites/default/files/DRR/2023/SR0759REC-Rinvoq_KT.CY_MFJ_KT_KT-meta.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2023/SR0759%20Rinvoq%20AS.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2023/SR0759%20Rinvoq%20-%20Stakeholder%20Feedback%20June%202023.pdf']",ankylosing spondylitis,Reimburse with clinical criteria and/or conditions,Complete,17-Oct-22,11-May-23,SR0759-000
palovaroteneOpens in new tab,Sohonos,palovarotene,"['https://www.cadth.ca/sites/default/files/DRR/2023/SR0761%20Sohonos%20-%20CADTH%20Final%20Recommendation.pdf', 'https://cadth.ca/sites/default/files/DRR/2023/SR0761-Sohonos_combined.pdf', 'https://cadth.ca/sites/default/files/DRR/2023/SR0761%20Sohonos%20-%20Stakeholder%20Feedback.pdf']",Fibrodysplasia Ossificans Progressiva,Reimburse with clinical criteria and/or conditions,Complete,21-Oct-22,11-May-23,SR0761-000
selumetinibOpens in new tab,Koselugo,selumetinib,"['https://www.cadth.ca/sites/default/files/DRR/2023/SR0764REC-Koselugo.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2023/SR0764-Koselugo.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2023/SR0764-Koselugo-Stakeholder-Feedback.pdf']",Neurofibromatosis type 1,Reimburse with clinical criteria and/or conditions,Complete,28-Oct-22,10-May-23,SR0764-000
fostemsavirOpens in new tab,Rukobia,fostemsavir,"['https://www.cadth.ca/sites/default/files/DRR/2023/SR0760REC-Rukobia.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2023/SR0760-Rukobia.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2023/SR0760%20Rubokia%20Stakeholder%20Feedback.pdf']",Human immunodeficiency virus type 1 (HIV-1),Reimburse with clinical criteria and/or conditions,Complete,28-Oct-22,10-May-23,SR0760-000
Prostate cancerOpens in new tab,,,['https://www.cadth.ca/sites/default/files/DRR/2023/PH0023-000-Prostate-Cancer.pdf'],Prostate Cancer,,Complete,,03-May-23,PH0023-000
ciltacabtagene autoleucelOpens in new tab,Carvykti,ciltacabtagene autoleucel,"['https://cadth.ca/sites/default/files/DRR/2023/PG0302-Carvykti.pdf', 'https://cadth.ca/sites/default/files/DRR/2023/PG0302-Carvykti_combined.pdf', 'https://cadth.ca/sites/default/files/DRR/2023/PG0302-Carvykti-Stakeholder-Feedback.pdf']",Relapsed or refractory multiple myeloma,Reimburse with clinical criteria and/or conditions,Complete,23-Sep-22,01-May-23,PG0302-000
crisantaspase recombinantOpens in new tab,Rylaze,crisantaspase recombinant,"['https://www.cadth.ca/sites/default/files/DRR/2023/PC0301%20Rylaze%20-%20CADTH%20Final%20Recommendation%20Final.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2023/PC0301-Rylaze.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2023/PC0301%20Rylaze%20-%20CADTH%20Consolidated%20Stakeholder%20Feedback.pdf']",Acute lymphoblastic leukemia,Reimburse with clinical criteria and/or conditions,Complete,18-Aug-22,26-Apr-23,PC0301-000
mavacamtenOpens in new tab,Camzyos,mavacamten,"['https://cadth.ca/sites/default/files/DRR/2023/SR0755_Camzyos-FinalCADTHRecommendation-meta.pdf', 'https://cadth.ca/sites/default/files/DRR/2023/SR0755-Camzyos.pdf', 'https://cadth.ca/sites/default/files/DRR/2023/SR0755-Camzyos-Stakeholder-Feedback.pdf']",Obstructive hypertrophic cardiomyopathy,Reimburse with clinical criteria and/or conditions,Complete,22-Sep-22,14-Apr-23,SR0755-000
Large B-Cell LymphomaOpens in new tab,,,['https://www.cadth.ca/sites/default/files/DRR/2023/PH0027-LBCL.pdf'],Large B-Cell Lymphoma,,Completed,,11-Apr-23,PH0027-000
caplacizumabOpens in new tab,Cablivi,caplacizumab,"['https://cadth.ca/sites/default/files/DRR/2023/SR0736%20Cablivi%20Resubmission%20-%20Final%20CADTH%20Recommendation%20Final.pdf', 'https://cadth.ca/sites/default/files/DRR/2023/SR0736-Cablivi%20Resubmission_combined.pdf', 'https://cadth.ca/sites/default/files/DRR/2023/SR0736%20Cablivi%20Resubmission%20-%20Stakeholder%20Feedback%20on%20Draft%20Recommendation_Redacted.pdf']",Acquired thrombotic thrombocytopenic purpura (aTTP),Do not reimburse,Complete,07-Jun-22,05-Apr-23,SR0736-000
nivolumabOpens in new tab,Opdivo,nivolumab,"['https://cadth.ca/sites/default/files/DRR/2023/PC0303%20Opdivo%20NSCLC%20-%20Final%20CADTH%20Recommendation.pdf', 'https://cadth.ca/sites/default/files/DRR/2023/PC0303-Opdivo-NSCLC.pdf', 'https://cadth.ca/sites/default/files/DRR/2023/PC0303-Opdivo-NSCLC-Stakeholder-Feedback.pdf']",Resectable Non-Small Cell Lung Cancer,Reimburse with clinical criteria and/or conditions,Complete,13-Sep-22,30-Mar-23,PC0303-000
brexucabtagene autoleucelOpens in new tab,Tecartus,brexucabtagene autoleucel,"['https://www.cadth.ca/sites/default/files/DRR/2023/PG0304%20Tecartus%20ALL%20%E2%80%93%20CADTH%20Final%20Recommendation%20Final.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2023/PG0304-Tecartus-ALL.pdf', 'https://www.cadth.ca/sites/default/files//DRR/2023/PG0304-Tecartus-ALL-Stakeholder-Feedback.pdf']",Acute lymphoblastic leukemia,Reimburse with clinical criteria and/or conditions,Complete,16-Sep-22,29-Mar-23,PG0304-000
pegcetacoplanOpens in new tab,Empaveli,pegcetacoplan,"['https://cadth.ca/sites/default/files/DRR/2023/SR0748REC-Empaveli_KT-meta.pdf', 'https://cadth.ca/sites/default/files/DRR/2023/SR0748-Empaveli_combined.pdf', 'https://cadth.ca/sites/default/files/DRR/2023/SR0748-Empaveli-Stakeholder-Feedback.pdf']",Paroxysmal nocturnal hemoglobinuria,Reimburse with clinical criteria and/or conditions,Complete,26-Aug-22,20-Mar-23,SR0748-000
finerenoneOpens in new tab,Kerendia,finerenone,"['https://www.cadth.ca/sites/default/files/DRR/2023/SR0737REC-Kerendia.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2023/SR0737-Kerendia.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2023/SR0737%20Kerendia%20-%20Stakeholder%20Feedback%20on%20Draft%20Recommendation%20March%208%2C%202023.pdf']",Chronic kidney disease,Reimburse with clinical criteria and/or conditions,Complete,20-May-22,08-Mar-23,SR0737-000
Hormone receptor (HR) positive...Opens in new tab,,,['https://cadth.ca/sites/default/files/DRR/2023/PH0018%20HRplus_HER2neg_Implementation%20Advice%20Report%20Algorithm.pdf'],"Hormone receptor (HR) positive, human epidermal growth factor receptor 2 (HER2) negative breast cancer",,Complete,,08-Mar-23,PH0018-000
lutetium vipivotide tetraxetanOpens in new tab,Pluvicto,lutetium vipivotide tetraxetan,"['https://cadth.ca/sites/default/files/DRR/2023/PC0297%20Pluvicto%20-%20Final%20CADTH%20Recommendation%20(with%20redactions)%20March%203%2C%202023_For%20publishing_JH_BMc-meta.pdf', 'https://cadth.ca/sites/default/files/DRR/2023/PC0297-Pluvicto_combined.pdf', 'https://cadth.ca/sites/default/files/DRR/2023/PC0297-Pluvicto-Stakeholder-Feedback.pdf']",Metastatic castration-resistant prostate cancer,Reimburse with clinical criteria and/or conditions,Complete,21-Jul-22,03-Mar-23,PC0297-000
amivantamabOpens in new tab,Rybrevant,amivantamab,"['https://www.cadth.ca/sites/default/files/DRR/2023/PC0289%20Rybrevant%20-%20Confidential%20CADTH%20Final%20Recommendation.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2023/PC0289-Rybrevant_combined.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2023/PC0289%20Rybrevant%20-%20Final%20Stakeholder%20Feedback%20May%2011%2C%202023.pdf']",Non-small cell lung cancer,Reimburse with clinical criteria and/or conditions,Complete,21-Apr-22,01-Mar-23,PC0289-000
olaparibOpens in new tab,Lynparza,olaparib,"['https://www.cadth.ca/sites/default/files/DRR/2023/PC0299%20Lynparza%20%E2%80%93%20CADTH%20Final%20Recommendation.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2023/PC0299-Lynparza_combined.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2023/PC0299-Lynparza-Stakeholder-Feedback.pdf']","gBRCAm, HER2-negative high-risk early breast cancer",Reimburse with clinical criteria and/or conditions,Complete,03-Aug-22,01-Mar-23,PC0299-000
ravulizumabOpens in new tab,Ultomiris,ravulizumab,"['https://www.cadth.ca/sites/default/files/DRR/2023/SR0740%20Ultomiris%20-%20CADTH%20Final%20Recommendation%20Final.pdf', 'https://cadth.ca/sites/default/files/DRR/2023/SR0740-Ultomiris_combined.pdf', 'https://cadth.ca/sites/default/files/DRR/2023/SR0740-Ultomiris-Stakeholder-Feedback.pdf']",Atypical hemolytic uremic syndrome,Reimburse with clinical criteria and/or conditions,Complete,08-Jun-22,27-Feb-23,SR0740-000
berotralstatOpens in new tab,Orladeyo,berotralstat,"['https://www.cadth.ca/sites/default/files/DRR/2023/SR0723%20Orladeyo%20-%20Final%20CADTH%20Rec.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2023/SR0723-Orladeyo.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2023/SR0723-Orladeyo-Stakeholder-Feedback.pdf']",hereditary angioedema (HAE),Reimburse with clinical criteria and/or conditions,Complete,22-Feb-22,17-Feb-23,SR0723-000
lumasiranOpens in new tab,Oxlumo,lumasiran,"['https://www.cadth.ca/sites/default/files/DRR/2023/SR0734%20Oxlumo%20-%20Final%20CADTH%20Recommendation%20(with%20redactions)%20Final.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2023/SR0734-Oxlumo.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2023/SR0734-Oxlumo-Stakeholder-Feedback.pdf']",Primary hyperoxaluria type 1,Reimburse with clinical criteria and/or conditions,Complete,10-May-22,08-Feb-23,SR0734-000
MelanomaOpens in new tab,,,['https://cadth.ca/sites/default/files/DRR/2023/PH0022%20Rapid%20Algorithm%20Report%20for%20Melanoma_with%20CAPCA%20Endorsement_FINAL.pdf'],Melanoma,,Complete,,06-Feb-23,PH0022-000
Differentiated Thyroid Carcino...Opens in new tab,,,['https://cadth.ca/sites/default/files/DRR/2023/PH0021%20Differentiated%20Thyroid%20Carcinoma%20Rapid%20Algorithm_for%20CAPCA%20Endorsement.pdf'],Differentiated Thyroid Carcinoma,,Complete,,06-Feb-23,PH0021-000
axicabtagene ciloleucelOpens in new tab,Yescarta,axicabtagene ciloleucel,"['https://www.cadth.ca/sites/default/files/DRR/2023/PG0293REC-Yescarta-meta.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2023/PG0293-Yescarta.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2023/PG0293%20Yescarta%20-%20Stakeholder%20Feedback%20on%20Draft%20Recommendation%20February%203%2C%202023.pdf']",Diffuse large B-cell lymphoma (DLBCL) or high-grade B-cell lymphoma (HGBL),Reimburse with clinical criteria and/or conditions,Complete,09-Jun-22,03-Feb-23,PG0293-000
durvalumabOpens in new tab,Imfinzi,durvalumab,"['https://cadth.ca/sites/default/files/DRR/2023/PC0296REC-Imfinzi_JH_GP1_KAS.pdf', 'https://cadth.ca/sites/default/files/DRR/2023/PC0296-Imfinzi_combined.pdf', 'https://cadth.ca/sites/default/files/DRR/2023/PC0296-Imfinzi-Stakeholder-Feedback.pdf']",Biliary tract cancer,Reimburse with clinical criteria and/or conditions,Complete,14-Jul-22,03-Feb-23,PC0296-000
pembrolizumabOpens in new tab,Keytruda,pembrolizumab,"['https://www.cadth.ca/sites/default/files/DRR/2023/PC0280%20Keytruda%20-%20Final%20CADTH%20Recommendation.pdf', 'https://cadth.ca/sites/default/files/DRR/2023/PC0280-Keytruda_combined.pdf', 'https://cadth.ca/sites/default/files/DRR/2023/PC0280-Keytruda-Stakeholder-Feedback.pdf']",Advanced endometrial cancer,Reimburse with clinical criteria and/or conditions,Complete,15-Dec-21,03-Feb-23,PC0280-000
dupilumabOpens in new tab,Dupixent,dupilumab,"['https://cadth.ca/sites/default/files/DRR/2023/SR0745%20Dupixent%20-%20CADTH%20Final%20Recommendation%20Final.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2023/SR0745-Dupixent.pdf', 'http://www.cadth.ca/sites/default/files/DRR/2023/SR0745-Dupixent-Stakeholder-Feedback.pdf']",Asthma,Reimburse with clinical criteria and/or conditions,Complete,28-Jun-22,20-Jan-23,SR0745-000
anifrolumabOpens in new tab,Saphnelo,anifrolumab,"['https://cadth.ca/sites/default/files/DRR/2023/SR0717%20Saphnelo%20-%20CADTH%20Final%20Rec_JH_BF.pdf', 'https://cadth.ca/sites/default/files/DRR/2023/SR0717-Saphnelo_combined.pdf', 'https://cadth.ca/sites/default/files/DRR/2023/SR0717%20Saphnelo%20-%20Stakeholder%20Feedback%20on%20Draft%20Recommendation.pdf']",Systemic lupus erythematosus,Reimburse with clinical criteria and/or conditions,Complete,28-Jan-22,20-Jan-23,SR0717-000
deferiproneOpens in new tab,Ferriprox,deferiprone,"['https://cadth.ca/sites/default/files/DRR/2023/SR0741%20Ferriprox%20-%20Final%20CADTH%20Recommendation%20Final-meta.pdf', 'https://cadth.ca/sites/default/files/DRR/2023/SR0741-Ferriprox_combined.pdf', 'https://cadth.ca/sites/default/files/DRR/2023/SR0741%20Ferriprox%20-%20Stakeholder%20Feedback%20January%2019%2C%202023.pdf']",Transfusional iron overload,Reimburse with clinical criteria and/or conditions,Complete,08-Jun-22,19-Jan-23,SR0741-000
belimumabOpens in new tab,Benlysta,belimumab,"['https://cadth.ca/sites/default/files/DRR/2023/SR0746%20Benlysta-%20CADTH%20Final%20Recommendation%20February%207%2C%202023_For%20Publishing_KT_NA_BF_KT_BF-meta.pdf', 'https://cadth.ca/sites/default/files/DRR/2023/SR0746-Benlysta_combined.pdf', 'https://cadth.ca/sites/default/files/DRR/2023/SR0746-Benlysta-Stakeholder-Feedback.pdf']",Lupus nephritis,Reimburse with clinical criteria and/or conditions,Complete,07-Jul-22,19-Jan-23,SR0746-000
brolucizumabOpens in new tab,Beovu,brolucizumab,"['https://cadth.ca/sites/default/files/DRR/2023/SR0747%20Beovu%20-%20CADTH%20%20Final%20Recommendation%20KH_SC%20-%20KH-meta.pdf', 'https://cadth.ca/sites/default/files/DRR/2023/SR0747-Beovu_combined.pdf', 'https://cadth.ca/sites/default/files/DRR/2023/SR0747%20Beovu%20-%20Stakeholder%20feedback.pdf']",Diabetic macular edema,Reimburse with clinical criteria and/or conditions,Complete,30-Jun-22,18-Jan-23,SR0747-000
