Title,Brand Name,Generic Name,PDF Links,Therapeutic Area,Recommendation,Status,Submission Date,Recommendation Date,Project Number
sacituzumab govitecan,Trodelvy,sacituzumab govitecan,https://www.cadth.ca/sites/default/files/DRR/2022/PC0254%20Trodelvy%20-%20CADTH%20Final%20Rec-meta.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/PC0254-Trodelvy-CombinedReport.pdf; https://www.cadth.ca/sites/default/files/attachments/2021-08/Sacituzumab%20govitecan%20-%20Patient%20Group%20Input%20-%20For%20posting.pdf,Locally advanced or metastatic triple-negative breast cancer,Reimburse with clinical criteria and/or conditions,Complete,"Jun 30, 2021","Jan 27, 2022",PC0254-000
nivolumab,Opdivo,nivolumab,https://cadth.ca/sites/default/files/DRR/2022/PC0253%20Opdivo%20-%20CADTH%20Final%20Rec%20Final.pdf; https://cadth.ca/sites/default/files/DRR/2022/PC0253-Opdivo_combined.pdf,Esophageal or gastroesophageal junction cancer,Reimburse with clinical criteria and/or conditions,Complete,"Jul 7, 2021","Jan 26, 2022",PC0253-000
alpelisib,Piqray,alpelisib,https://cadth.ca/sites/default/files/DRR/2022/PC0247%20Piqray%20-%20Final%20CADTH%20Rec-meta.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/PC0247%20Piqray%20-%20Clinician%20Input%20for%20posting.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/PC0247%20Piqray%20-%20Stakeholder%20Feedback%20on%20Draft%20Recommendation%20January%2026%2C%202022.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/PC0247-Piqray.pdf; https://www.cadth.ca/sites/default/files/pcodr/CRR_PCproject_Patient%20Group%20Input/2021/PC0247%20Piqray%20-%20Patient%20Group%20Input_for%20posting.pdf,Advanced or Metastatic Breast Cancer,Do not reimburse,Complete,"Apr 21, 2021","Jan 26, 2022",PC0247-000
pertuzumab,Perjeta,pertuzumab,https://www.cadth.ca/sites/default/files/DRR/2021/PC0241%20Perjeta%20PI%20for%20redactions_Redacted.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/PC0241%20Perjeta%20-%20Final%20CADTH%20Rec_Final.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/PC0241%20Perjeta%20-%20Stakeholder%20Feedback%20January%2025%2C%202022.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/PC0241%20Perjeta%20Clinician%20Input.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/PC0241-Perjeta.pdf,Early stage breast cancer,Do not reimburse,Complete,"Apr 14, 2021","Jan 25, 2022",PC0241-000
mecasermin,Increlex,mecasermin,https://cadth.ca/sites/default/files/DRR/2022/SR0692-Increlex-Stakeholder-Feedback-Jan21-2022.pdf; https://cadth.ca/sites/default/files/DRR/2022/SR0692-combined_Increlex.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/SR0692REC-Increlex_JH_BF-meta.pdf; https://www.cadth.ca/sites/default/files/attachments/2021-07/SR0692%20Increlex%20Patient%20Group%20Input_For%20Posting.pdf,Severe primary insulin-like growth factor-1 deficiency,Reimburse with clinical criteria and/or conditions,Complete,"Jun 14, 2021","Jan 21, 2022",SR0692-000
triheptanoin,Dojolvi,triheptanoin,https://cadth.ca/sites/default/files/DRR/2021/SR0684%20Dojolvi%20Patient%20Input%20for%20Posting.pdf; https://cadth.ca/sites/default/files/DRR/2022/SR0684-Dojolvi-Clinician-Input-Redacted.pdf; https://cadth.ca/sites/default/files/DRR/2022/SR0684-Dojolvi-CombinedReport.pdf; https://cadth.ca/sites/default/files/DRR/2022/SR0684-Dojolvi-Stakeholder-Feedback-Sep23-2021-Jan7-2022.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/SR0684%20Dojolvi%20-%20CADTH%20Final%20Rec-meta.pdf,Long-chain fatty acid oxidation disorders,Reimburse with clinical criteria and/or conditions,Complete,"Mar 31, 2021","Jan 21, 2022",SR0684-000
estradiol,Imvexxy,estradiol,https://www.cadth.ca/sites/default/files/DRR/2022/SR0694%20Imvexxy%20-%20CADTH%20Final%20Rec%20KH.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/SR0694%20Imvexxy%20-%20Clinical%20and%20Economic%20Review%20Report%20_Final.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/SR0694%20Imvexxy%20-%20Stakeholder%20Feedback%20January%2020%2C%202022.pdf,Dyspareunia,Reimburse with clinical criteria and/or conditions,Complete,"Jun 23, 2021","Jan 20, 2022",SR0694-000
osimertinib,Tagrisso,osimertinib,https://cadth.ca/sites/default/files/DRR/2021/PC0246_Tagrisso_PI%20Submission_for%20posting.pdf; https://cadth.ca/sites/default/files/DRR/2022/PC0246-Tagrisso-Clincian-Input-April-2021.pdf; https://cadth.ca/sites/default/files/DRR/2022/PC0246-Tagrisso-rec%20Final.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/PC0246%20Tagrisso%20-%20Draft%20Recommendation%20Stakeholder%20Feedback%20February%203%2C%202022.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/PC0246-Tagrisso.pdf,Non-small cell lung cancer,Reimburse with clinical criteria and/or conditions,Complete,"Mar 24, 2021","Jan 10, 2022",PC0246-000
enfortumab vedotin,Padcev,enfortumab vedotin,https://www.cadth.ca/sites/default/files/DRR/2021/PC0251 Enfortumab vedotin - Patient Group Input - For posting.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/PC0251-Padcev-Stakeholder-Feedback-on-Draft-Rec.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/PC0251-Padcev.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/PC0251REC-Padcev%20Final-meta.pdf,Locally advanced or metastatic urothelial carcinoma,Reimburse with clinical criteria and/or conditions,Complete,"Jun 23, 2021","Jan 6, 2022",PC0251-000
zanubrutinib,Brukinsa,zanubrutinib,https://www.cadth.ca/sites/default/files/DRR/2021/PC0248%20Brukinsa%20%E2%80%93%20CADTH%20Final%20Recommendation%20Final-meta.pdf; https://www.cadth.ca/sites/default/files/DRR/2021/PC0248%20Brukinsa%20-%20Patient%20Group%20Input_Redacted_0.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/PC0248-Brukinsa-Clinician-Group-Input.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/PC0248-Brukinsa-Stakeholder-Feedback.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/PC0248-Brukinsa.pdf,Waldenström’s macroglobulinemia,Reimburse with clinical criteria and/or conditions,Complete,"May 21, 2021","Dec 21, 2021",PC0248-000
pembrolizumab,Keytruda,pembrolizumab,https://cadth.ca/sites/default/files/DRR/2021/PC0250%20Keytruda%20EC%20GEJ%20Patient%20Input_Redacted.pdf; https://www.cadth.ca/sites/default/files/DRR/2021/PC0250%20Keytruda%20-%20CADTH%20Final%20Rec.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/PC0246-Tagrisso-Clincian-Input-April-2021.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/PC0250-Keytruda-Final-Stakeholder-Feedback-Jan5-2022.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/PC0250CL-Keytruda.pdf,"Esophageal carcinoma, gastroesophageal junction adenocarcinoma",Reimburse with clinical criteria and/or conditions,Complete,"May 26, 2021","Dec 20, 2021",PC0250-000
galcanezumab,Emgality,galcanezumab,https://www.cadth.ca/sites/default/files/DRR/2021/SR0693%20Emgality%20-%20CADTH%20Final%20Rec.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/SR0693-Emgality-Stakeholder-Feedback-on-Draft-Rec-jan18-2022.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/SR0693-Emgality.pdf; https://www.cadth.ca/sites/default/files/attachments/2021-07/SR0693%20Emgality%20-%20Patient%20Group%20Input%20-%20Migraine%20Canada%20and%20Migraine%20Quebec_For%20Posting.pdf,Prevention of migraine,Reimburse with clinical criteria and/or conditions,Complete,"Jun 3, 2021","Dec 15, 2021",SR0693-000
macitentan and tadalafil,Opsynvi,macitentan and tadalafil,https://cadth.ca/sites/default/files/DRR/2021/SR0690%20Opsynvi-Rec%20Final.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/SR0690-Opsynvi-Stakeholder-Feedback-on-Draft-Rec.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/SR0690-Opsynvi_combined.pdf,Pulmonary arterial hypertension,Reimburse with clinical criteria and/or conditions,Complete,"May 20, 2021","Dec 14, 2021",SR0690-000
luspatercept,Reblozyl,luspatercept,https://cadth.ca/sites/default/files/DRR/2022/SR0670-Reblozyl-Clinician-Input-for-Posting.pdf; https://cadth.ca/sites/default/files/DRR/2022/SR0670-Reblozyl-Stakeholder-Feedback-Dec7-2021.pdf; https://cadth.ca/sites/default/files/DRR/2022/SR0670-Reblozyl-combinedReport.pdf; https://cadth.ca/sites/default/files/cdr/relatedinfo/SR0670%20Reblozyl%20-%20Patient%20Input%20for%20Posting.pdf; https://www.cadth.ca/sites/default/files/DRR/2021/SR0670%20Reblozyl%20-%20CADTH%20Final%20Rec.pdf,Myelodysplastic syndromes-associated anemia,Reimburse with clinical criteria and/or conditions,Complete,"Jan 28, 2021","Dec 7, 2021",SR0670-000
chlormethine hydrochloride,Ledaga,chlormethine hydrochloride,https://www.cadth.ca/sites/default/files/DRR/2021/PC0242%20Ledaga%20-%20CADTH%20Final%20Rec-meta.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/PC0242-Ledaga-clinician-group-input.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/PC0242-Ledaga-report.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/PC0242-Ledaga-stakeholder-feedback-on-draft-rec.pdf; https://www.cadth.ca/sites/default/files/pcodr/CRR_PCproject_Patient%20Group%20Input/2021/Ledaga%20-%20Patient%20Group%20Input%20-%20For%20Posting.pdf,T-cell lymphoma,Do not reimburse,Complete,"Dec 21, 2020","Nov 24, 2021",PC0242-000
tucatinib,Tukysa,tucatinib,https://cadth.ca/sites/default/files/DRR/2021/PC0243%20Tukysa%20-%20CADTH%20Final%20Rec_Final.pdf; https://cadth.ca/sites/default/files/DRR/2021/PC0243%20Tukysa%20-%20Patient%20Group%20Input_redacted.pdf; https://cadth.ca/sites/default/files/DRR/2022/PC0243%20Tukysa%20-%20Clinician%20Group%20Input.pdf; https://cadth.ca/sites/default/files/DRR/2022/PC0243%20Tukysa%20-%20Stakeholder%20Feedback.pdf; https://cadth.ca/sites/default/files/DRR/2022/PC0243-Tukysa-combined.pdf,Advanced or Metastatic Breast Cancer,Reimburse with clinical criteria and/or conditions,Complete,"Mar 26, 2021","Nov 17, 2021",PC0243-000
idecabtagene vicleucel,Abecma,idecabtagene vicleucel,https://www.cadth.ca/sites/default/files/DRR/2021/PG0240%20Abecma%20-%20CADTH%20Final.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/PG0240-Abecma-Clinician-Input-Dec1-2021.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/PG0240-Abecma-Stakeholder-Feedback-(with%20redactions)-Nov22-2021.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/PG0240-Abecma.pdf; https://www.cadth.ca/sites/default/files/pcodr/CRR_PCproject_Patient%20Group%20Input/2021/Idecabtagene%20vicleucel%20-%20Consolidated%20Patient%20Group%20for%20Posting.pdf,Multiple myeloma,Do not reimburse,Complete,"Dec 16, 2020","Nov 12, 2021",PG0240-000
colorectal cancer,N/A,N/A,https://www.cadth.ca/sites/default/files/attachments/2021-11/PH0005-000_CRC-FINAL-report-Nov11_0.pdf,Colorectal Cancer,N/A,Complete,N/A,"Nov 12, 2021",PH0005-000
trientine hydrochloride,MAR-Trientine,Trientine Hydrochloride,https://www.cadth.ca/sites/default/files/DRR/2021/SR0680%20MAR-Trientine%20-%20CADTH%20Final%20Rec-meta.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/SR0680-MAR-Trientine-Stakeholder-Feedback-on-Draft-Recommendation-for-posting.pdf; https://www.cadth.ca/sites/default/files/DRR/2022/SR0680-MAR-Trientine.pdf,Wilson's Disease,Reimburse with clinical criteria and/or conditions,Complete,"Apr 19, 2021","Nov 11, 2021",SR0680-000
romosozumab,Evenity,romosozumab,https://cadth.ca/sites/default/files/DRR/2022/SR0676%20Evenity-Stakeholder%20Feedback%20on%20Draft%20Recommendation.pdf; https://cadth.ca/sites/default/files/DRR/2022/SR0676-Evenity-combined-report.pdf; https://cadth.ca/sites/default/files/cdr/relatedinfo/SR0676%20Evenity%20-%20Patient%20Group%20Input_For%20Posting.pdf; https://www.cadth.ca/sites/default/files/DRR/2021/SR0676%20Evenity%20-%20CADTH%20Final%20Rec_Final.pdf,"Osteoporosis, postmenopausal women",Reimburse with clinical criteria and/or conditions,Complete,"Feb 1, 2021","Nov 11, 2021",SR0676-000
pembrolizumab,Keytruda,pembrolizumab,https://www.cadth.ca/sites/default/files/DRR/2021/PC0236%20Keytruda%20-%20CADTH%20Final%20Rec%20Final.pdf; https://www.cadth.ca/sites/default/files/DRR/2021/PC0236%20Keytruda%20-%20Clinician%20Input.pdf; https://www.cadth.ca/sites/default/files/DRR/2021/PC0236%20Keytruda%20-%20Stakeholder%20Feedback.pdf; https://www.cadth.ca/sites/default/files/DRR/2021/PC0236%20Keytruda-combined-report.pdf; https://www.cadth.ca/sites/default/files/pcodr/CRR_PCproject_Patient%20Group%20Input/2021/Keytruda%20-%20Patient%20Input%20Group%20-%20For%20posting.pdf,Classical Hodgkin lymphoma,Reimburse with clinical criteria and/or conditions,Complete,"Jan 29, 2021","Nov 1, 2021",PC0236-000
azacitidine,Onureg,azacitidine,https://cadth.ca/sites/default/files/DRR/2021/PC0245%20Onureg%20-%20CADTH%20Final%20Rec.pdf; https://cadth.ca/sites/default/files/DRR/2021/PC0245-Onureg%20-%20Consolidated%20PI%20for%20Posting%20April%2022%2C%202021_Final.pdf; https://cadth.ca/sites/default/files/DRR/2022/PC0245%20Onureg-Stakeholder%20Feedback%20on%20Draft%20Recommendation.pdf; https://cadth.ca/sites/default/files/DRR/2022/PC0245-Onureg-Clinician-Group-Input.pdf; https://cadth.ca/sites/default/files/DRR/2022/PC0245-Onureg-combined-Final.pdf,Acute myeloid leukemia,Reimburse with clinical criteria and/or conditions,Complete,"Mar 1, 2021","Oct 20, 2021",PC0245-000
decitabine cedazuridine inqovi mds,Inqovi,Decitabine-Cedazuridine,https://www.cadth.ca/sites/default/files/pcodr/Reviews2021/10228Decitabine-CedazuridineMDS_Clinician Feedback_Post22Sep2021_final.pdf; https://www.cadth.ca/sites/default/files/pcodr/Reviews2021/10228Decitabine-CedazuridineMDS_ClinicianCOI_Post22Sep2021_final_Redacted.pdf; https://www.cadth.ca/sites/default/files/pcodr/Reviews2021/10228Decitabine-CedazuridineMDS_FnRec_REDACT_Post22Sep2021_final.pdf; https://www.cadth.ca/sites/default/files/pcodr/Reviews2021/10228Decitabine-CedazuridineMDS_PAG_Post22Sep2021_final.pdf; https://www.cadth.ca/sites/default/files/pcodr/Reviews2021/10228Decitabine-CedazuridineMDS_Patient Feedback_Post22Sep2021_final.pdf; https://www.cadth.ca/sites/default/files/pcodr/Reviews2021/10228Decitabine-CedazuridineMDS_PatientCOI_Post22Sep2021_final.pdf; https://www.cadth.ca/sites/default/files/pcodr/Reviews2021/10228Decitabine-CedazuridineMDS_Sponsor Feedback_Post22Sep2021_final.pdf; https://www.cadth.ca/sites/default/files/pcodr/Reviews2021/10228Decitabine-CedazuridineMDS_fnCGR_REDACT_Post22Sep2021_final.pdf; https://www.cadth.ca/sites/default/files/pcodr/Reviews2021/10228Decitabine-CedazuridineMDS_fnEGR_REDACT-ABBREV_Post22Sep2021_final.pdf; https://www.cadth.ca/sites/default/files/pcodr/Reviews2021/10228Decitabine-CedazuridineMDS_inRec_REDACT_Post02Sep2021_final.pdf,Myelodysplastic Syndromes (MDS),Reimburse with clinical criteria and/or conditions,Complete,"Oct 9, 2020","Sep 22, 2021",PC0228-000
elexacaftor tezacaftor ivacaftor and ivacaftor,Trikafta,elexacaftor / tezacaftor / ivacaftor and ivacaftor,https://cadth.ca/sites/default/files/DRR/2021/SR0673%20Trikafta%20-%20CADTH%20Final%20Rec%20Revised.pdf; https://cadth.ca/sites/default/files/cdr/relatedinfo/elexacaftor%20tezacaftor%20ivacaftor%20and%20ivacaftor%20-%20Patient%20Group%20Input%20-%20For%20posting.pdf; https://www.cadth.ca/sites/default/files/DRR/2021/SR0673-Trikafta%20-%20Clinician%20Group%20Input%20-%20Consolidated_For%20posting.pdf; https://www.cadth.ca/sites/default/files/DRR/2021/SR0673-Trikafta%20-%20Stakeholder%20Feedback%20-%20For%20posting.pdf; https://www.cadth.ca/sites/default/files/DRR/2021/SR0673-combined-report.pdf,"Cystic fibrosis, F508del CFTR mutation",Reimburse with clinical criteria and/or conditions,Complete,"Jan 22, 2021","Sep 16, 2021",SR0673-000
budesonide glycopyrronium formoterol fumarate,Breztri Aerosphere,budesonide/ glycopyrronium /formoterol fumarate,https://cadth.ca/sites/default/files/DRR/2021/SR0675%20Breztri%20Aerosphere%20-%20CADTH%20Final%20Rec.pdf; https://cadth.ca/sites/default/files/cdr/relatedinfo/SR0675_budesonide-glycopyrronium-formoterol%20fumarate_PI%20Submission.pdf; https://www.cadth.ca/sites/default/files/DRR/2021/SR0675-Breztri%20Aerosphere%20-%20Clinician%20Group%20Input%20September%202021.pdf; https://www.cadth.ca/sites/default/files/DRR/2021/SR0675-Breztri%20Aerosphere%20-%20Stakeholder%20Feedback%20Septebmer%202021.pdf; https://www.cadth.ca/sites/default/files/DRR/2021/SR0675-combined-report.pdf,chronic obstructive pulmonary disease (COPD),Reimburse with clinical criteria and/or conditions,Complete,"Jan 28, 2021","Sep 14, 2021",SR0675-000
larotrectinib,Vitrakvi,larotrectinib,https://cadth.ca/sites/default/files/pcodr/CRR_PCproject_Patient%20Group%20Input/2020/Vitrakvi%20-%20Patient%20Group%20Input%20-%20For%20posting.pdf; https://www.cadth.ca/sites/default/files/DRR/2021/PC0221%20Vitrakvi%20-%20CADTH%20Final%20Rec%20KG_NA_Corrected-meta.pdf; https://www.cadth.ca/sites/default/files/DRR/2021/PC0221-Vitrakvi%20-%20Clinician%20Group%20Input%20-%20Consolidated_For%20posting.pdf; https://www.cadth.ca/sites/default/files/DRR/2021/PC0221-Vitrakvi%20-%20Stakeholder%20Feedback%20on%20Draft%20Recommendation%20-%20Consolidated_For%20posting.pdf; https://www.cadth.ca/sites/default/files/DRR/2021/PC0221-Vitrakvi-combined-report-meta.pdf,Solid tumours with NTRK gene fusion,Reimburse with clinical criteria and/or conditions,Complete,"Nov 16, 2020","Sep 13, 2021",PC0221-000
incobotulinumtoxina,Xeomin,incobotulinumtoxinA,https://www.cadth.ca/sites/default/files/DRR/2021/SR0678%20Xeomin%20-%20CADTH%20Final%20Rec.pdf; https://www.cadth.ca/sites/default/files/DRR/2021/SR0678%20Xeomin%20-%20Stakeholder%20Feedback%20on%20Draft%20Recommendation.pdf; https://www.cadth.ca/sites/default/files/DRR/2021/SR0678-combined-report.pdf; https://www.cadth.ca/sites/default/files/DRR/2021/SR0678_Xeomin_PI Submission_Redacted.pdf,Chronic sialorrhea associated with neurological disorders,Reimburse with clinical criteria and/or conditions,Complete,"Feb 26, 2021","Sep 9, 2021",SR0678-000
risperidone,Perseris,risperidone,https://cadth.ca/sites/default/files/cdr/relatedinfo/SR0671%20Perseris%20-%20Patient%20Group%20Input%20Submission_Redacted.pdf; https://www.cadth.ca/sites/default/files/DRR/2021/SR0671%20Perseris%20-%20CADTH%20Final%20Rec.pdf; https://www.cadth.ca/sites/default/files/DRR/2021/SR0671-Perseris%20-%20Stakeholder%20Feedback.pdf; https://www.cadth.ca/sites/default/files/DRR/2021/SR0671-Perseris-Combine.pdf,"Schizophrenia, adults",Reimburse with clinical criteria and/or conditions,Complete,"Jan 29, 2021","Sep 8, 2021",SR0671-000
givosiran,Givlaari,givosiran,https://cadth.ca/sites/default/files/DRR/2021/SR0679%20Givlaari%20-%20Stakeholder%20Feedback%20on%20Draft%20Recommendation.pdf; https://cadth.ca/sites/default/files/cdr/relatedinfo/SR0679%20Givlaari%20-%20Patient%20Input%20for%20Posting.pdf; https://www.cadth.ca/sites/default/files/DRR/2021/SR0679%20Givlaari%20-%20CADTH%20Final%20Rec-pw.pdf; https://www.cadth.ca/sites/default/files/DRR/2021/SR0679-Givlaari%20combined-meta.pdf,Acute hepatic porphyria (AHP) in adults,Reimburse with clinical criteria and/or conditions,Complete,"Feb 23, 2021","Sep 8, 2021",SR0679-000
liraglutide,Saxenda,liraglutide,https://cadth.ca/sites/default/files/cdr/relatedinfo/SR0668%20Saxenda%20-%20PI%20Submission.pdf; https://www.cadth.ca/sites/default/files/DRR/2021/SR0668 Saxenda - CADTH Final Rec KT_BF_KT-pw.pdf; https://www.cadth.ca/sites/default/files/DRR/2021/SR0668%20Saxenda-combined-report.pdf; https://www.cadth.ca/sites/default/files/DRR/2021/SR0668%20Saxenda-stakeholder-feedback.pdf,Chronic weight management in adults,Do not reimburse,Complete,"Dec 23, 2020","Sep 1, 2021",SR0668-000
risdiplam,Evrysdi,risdiplam,https://cadth.ca/sites/default/files/DRR/2021/SR0661%20Evrysdi%20Recommendation%20Final.pdf; https://cadth.ca/sites/default/files/cdr/relatedinfo/risdiplam%20-%20Consolidated%20Patient%20Input%20for%20Posting.pdf; https://www.cadth.ca/sites/default/files/DRR/2021/SR0661%20Evrysdi%20-%20Clinician%20Input.pdf; https://www.cadth.ca/sites/default/files/DRR/2021/SR0661%20Evrysdi%20-%20Stakeholder%20Feedback%20August%205%2C%202021.pdf; https://www.cadth.ca/sites/default/files/DRR/2021/SR0661-combined-report-final.pdf,Spinal muscular atrophy,Reimburse with clinical criteria and/or conditions,Complete,"Nov 19, 2020","Aug 26, 2021",SR0661-000
brexucabtagene autoleucel,Tecartus,brexucabtagene autoleucel,https://cadth.ca/sites/default/files/DRR/2021/PG0219%20Tecartus%20-%20CADTH%20Final%20Rec.pdf; https://cadth.ca/sites/default/files/DRR/2021/PG0219%20Tecartus%20-%20Clinician%20Group%20Input_For%20Posting.pdf; https://cadth.ca/sites/default/files/DRR/2021/PG0219%20Tecartus%20-%20Stakeholder%20Feedback_For%20Posting.pdf; https://cadth.ca/sites/default/files/DRR/2021/PG0219%20brexucabtagene%20autoleucel%20-%20Patient%20Group%20Input.pdf; https://cadth.ca/sites/default/files/DRR/2021/PG0219-tecartus-combined-report-meta.pdf,Mantle cell lymphoma,Reimburse with clinical criteria and/or conditions,Complete,"Dec 18, 2020","Aug 24, 2021",PG0219-000
